 Tipo di Contaminazione             | Esempi                        
 Contaminazione batterica           | Escherichia coli, Salmonella, Listeria  
 Contaminazione da funghi patogeni  | Fusarium, Penicillium, Aspergillus   
 Contaminazione da virus            | Norovirus, Hepatite A, Rotavirus    
 Contaminazione da alghe            | Microcystis, Chlorella, Dinoflagellati   
 Contaminazione da metalli pesanti  | Piombo, Cadmio, Mercurio           
 Contaminazione da pesticidi        | DDT, Clorpirifos, Roundup         
 Contaminazione da sostanze organiche nocive | Idrocarburi policiclici aromatici, PCB, ftalati 
 Contaminazione da sedimenti e particelle sospese | Sabbia, fanghi, sedimenti organici  
 Contaminazione da sostanze chimiche industriali | Solventi, acidi, basi           
 Contaminazione da microbi indesiderati | Clostridium, Pseudomonas, Streptococcus 