 Applicazioni | Esempi 
 Sterilizzazione delle camere di coltivazione dei funghi | Disinfezione delle pareti e delle attrezzature. 
 Riduzione dei contaminanti microbiologici nell'aria | Rimozione di spore di muffa, batteri, e virus. 
 Eliminazione di spore di muffe e batteri nell'aria | Distruzione delle spore di Aspergillus e Penicillium. 
 Controllo degli odori sgradevoli nelle strutture di coltivazione | Neutralizzazione degli odori di ammoniaca e decomposizione organica. 
 Inattivazione di patogeni nocivi per le coltivazioni di funghi | Eliminazione del Verticillium e di altri agenti patogeni. 
 Prolungamento della durata di conservazione dei prodotti fungini | Riduzione della contaminazione microbiologica per prolungare la freschezza. 
 Prevenzione delle malattie fungine nelle coltivazioni | Controllo del Fusarium e dell'oidio per prevenire malattie fungine. 
 Miglioramento della qualità dell'aria nelle strutture di coltivazione | Rimozione di allergeni e agenti irritanti dall'aria. 
 Eliminazione di microrganismi indesiderati per una crescita sana dei funghi | Eliminazione di microrganismi concorrenti che possono compromettere la crescita dei funghi. 
 Controllo delle infezioni crociate tra le diverse coltivazioni di funghi | Prevenzione della diffusione di malattie da una coltivazione all'altra. 