 Applicazione                                       | Esempi di Uso                   
 Sterilizzazione di attrezzature per la lavorazione del pesce | Serbatoi, utensili, attrezzi   
 Decontaminazione di tavoli da lavoro e superfici di taglio | Tavoli di lavoro, taglieri    
 Pulizia e disinfezione di macchinari per la trasformazione del pesce | Trituratori, imbustatrici  
 Sterilizzazione di recipienti e contenitori per il pesce | Contenitori di stoccaggio, secchi 
 Sanitizzazione di impianti di confezionamento del pesce | Linee di confezionamento, cinghie trasportatrici 
 Decontaminazione di superfici di stoccaggio del pesce | Magazzini frigoriferi, scaffalature 
 Sterilizzazione di aree di preparazione del pesce | Sale di preparazione, cucine industriali 
 Pulizia di superfici di lavorazione del pesce in pescherie | Banchi di vendita, macellazioni di pesce 
 Disinfezione di attrezzature per la produzione di alimenti ittici | Stampanti di etichette, incartatrici 
 Sanificazione di superfici nelle aree di vendita al dettaglio del pesce | Vetrine frigorifere, banconi di vendita 